symbol,security,country,gics_sector,gics_sub_industry,categories
CRL,Charles River Laboratories International,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch,"[""Companies listed on the New York Stock Exchange"", ""Health care companies established in 1947"", ""Companies based in Wilmington, Massachusetts"", ""Multinational companies headquartered in the United States"", ""Animal rights"", ""Health care companies based in Massachusetts"", ""Contract research organizations"", ""Animal testing in the United States"", ""Animal testing in the United Kingdom"", ""1947 establishments in Massachusetts"", ""Life sciences industry"", ""2000 initial public offerings""]"
CRM,Salesforce,United States,Technology,Computer Software: Prepackaged Software,"[""Salesforce| "", ""1999 establishments in California"", ""2004 initial public offerings"", ""American companies established in 1999"", ""Cloud applications"", ""Cloud computing providers"", ""Companies based in San Francisco"", ""Companies in the Dow Jones Industrial Average"", ""Companies listed on the New York Stock Exchange"", ""Customer relationship management software"", ""Customer relationship management software companies"", ""Low Code Application Platform"", ""Software companies based in the San Francisco Bay Area"", ""Software companies established in 1999"", ""Software companies of the United States""]"
CRMD,CorMedix,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CRMT,America's Car-Mart,United States,Consumer Discretionary,Other Specialty Stores,
CRNC,Cerence,United States,Technology,EDP Services,"[""American companies established in 2019"", ""Automotive technologies"", ""AI companies"", ""Companies based in Burlington, Massachusetts"", ""Companies listed on the Nasdaq"", ""Corporate spin-offs""]"
CRNX,Crinetics Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CROX,Crocs,United States,Consumer Discretionary,Shoe Manufacturing,"[""2002 establishments in Colorado"", ""2006 initial public offerings"", ""2000s fashion"", ""2010s fashion"", ""2020s fashion"", ""American companies established in 2002"", ""Clothing companies established in 2002"", ""Companies based in Boulder County, Colorado"", ""Companies listed on the Nasdaq"", ""Manufacturing companies based in Colorado"", ""Shoe brands"", ""Shoe companies of the United States"", ""Clogs (shoes)""]"
CRS,Carpenter Technology Corporation,United States,Industrials,Steel/Iron Ore,"[""1889 establishments in Pennsylvania"", ""Companies based in Philadelphia"", ""Companies listed on the New York Stock Exchange"", ""Manufacturing companies based in Pennsylvania"", ""Metal companies of the United States"", ""Steel companies of the United States"", ""Technology companies established in 1889""]"
CRSR,Corsair Gaming,United States,Technology,Computer Manufacturing,"[""1994 establishments in California"", ""2020 initial public offerings"", ""Companies based in Milpitas, California"", ""Companies listed on the Nasdaq"", ""Computer companies established in 1994"", ""Computer companies of the United States"", ""Computer enclosure companies"", ""Computer hardware cooling"", ""Computer memory companies"", ""Computer peripheral companies"", ""Computer power supply unit manufacturers"", ""Impact of the COVID-19 pandemic on the video game industry"", ""Technology companies based in the San Francisco Bay Area"", ""Video game hardware""]"
CRT,Cross Timbers Royalty Trust,United States,Energy,Oil & Gas Production,
CRUS,Cirrus Logic,United States,Technology,Semiconductors,"[""Fabless semiconductor companies"", ""Graphics hardware companies"", ""American companies established in 1981"", ""Electronics companies established in 1981"", ""1981 establishments in Utah"", ""Manufacturing companies based in Austin, Texas"", ""Companies listed on the Nasdaq"", ""Semiconductor companies of the United States"", ""American brands""]"
CRVL,CorVel Corp.,United States,Finance,Specialty Insurers,"[""Health care companies established in 1987"", ""Financial services companies established in 1987"", ""Companies based in Irvine, California"", ""Health insurance companies of the United States"", ""Health care companies based in California"", ""Companies listed on the Nasdaq"", ""1991 initial public offerings""]"
CRVS,Corvus Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CRWD,CrowdStrike Holdings,United States,Technology,Computer Software: Prepackaged Software,"[""Companies based in Austin, Texas"", ""American companies established in 2011"", ""Technology companies established in 2011"", ""Computer security companies"", ""Security companies of the United States"", ""2011 establishments in California"", ""Organizations associated with Russian interference in the 2016 United States elections"", ""2019 initial public offerings"", ""Companies listed on the Nasdaq"", ""Internet technology companies of the United States"", ""Trump\u2013Ukraine scandal""]"
CRWS,Crown Crafts,United States,Consumer Discretionary,Textiles,"[""Companies based in Louisiana"", ""Manufacturing companies based in Louisiana""]"
CSBR,Champions Oncology,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
